Ticker,Nome,Preço Atual
CXSE3,Caixa Seguridade Participações S.A.,14.2
CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,25.38
DASA3,Diagnósticos da América S.A.,1.37
DESK3,Desktop S.A.,9.57
DEXP3,Dexxos Participações S.A.,9.1
DEXP4,Dexxos Participações S.A.,8.9
DIRR3,Direcional Engenharia S.A.,41.61
DMVF3,d1000 Varejo Farma Participações S.A.,4.85
DOHL3,Döhler S.A.,6.51
DOHL4,Döhler S.A.,3.95
DOTZ3,Dotz S.A.,7.4
DTCY3,DTCOM - Direct to Company S.A.,2.9
DXCO3,Dexco S.A.,5.64
EALT3,Electro Aço Altona S.A.,15.2
EALT4,Electro Aço Altona S.A.,14.0
ECOR3,EcoRodovias Infraestrutura e Logística S.A.,7.4
EGIE3,Engie Brasil Energia S.A.,41.4
EKTR3,Elektro Redes S.A.,35.01
EKTR4,Elektro Redes S.A.,47.6
ELET3,Centrais Elétricas Brasileiras S.A. - Eletrobrás,40.14
ELET5,Centrais Elétricas Brasileiras S.A. - Eletrobrás,82.5
ELET6,Centrais Elétricas Brasileiras S.A. - Eletrobrás,44.42
ELMD3,Eletromidia S.A.,31.0
EMAE4,Empresa Metropolitana de Águas e Energia S.A.,31.39
EMBR3,Embraer S.A.,73.04
ENEV3,Eneva S.A.,13.83
ENGI11,Energisa S.A.,46.29
ENGI3,Energisa S.A.,12.24
ENGI4,Energisa S.A.,8.49
ENJU3,Enjoei S.A.,1.15
ENMT3,Energisa Mato Grosso - Distribuidora de Energia S/A,61.98
EPAR3,Embpar Participacoes S.A.,5.0
EQPA3,Equatorial Pará Distribuidora de Energia S.A.,5.75
EQPA7,Equatorial Pará Distribuidora de Energia S.A.,8.05
EQTL3,Equatorial S.A.,35.6
ESPA3,MPM Corpóreos S.A.,1.03
ESTR4,Manufatura de Brinquedos Estrela S.A.,3.11
ETER3,Eternit S.A.,3.97
EUCA3,Eucatex S.A. Indústria e Comércio,20.9
EUCA4,Eucatex S.A. Indústria e Comércio,18.53
EVEN3,Even Construtora e Incorporadora S.A.,7.24
EZTC3,EZTEC Empreendimentos e Participações S.A.,13.15
FESA3,Cia de Ferro Ligas da Bahia S.A. - FERBASA,11.02
FESA4,Cia de Ferro Ligas da Bahia S.A. - FERBASA,6.79
FHER3,Fertilizantes Heringer S.A.,3.92
FICT3,Fictor Alimentos S.A.,3.56
FIEI3,Fica Empreendimentos Imobiliarios S.A,11.97
FIQE3,Unifique Telecomunicações S.A.,3.78
FLRY3,Fleury S.A.,13.26
FRAS3,Fras-le S.A.,27.01
GEPA3,Rio Paranapanema Energia S.A.,34.0
GEPA4,Rio Paranapanema Energia S.A.,35.5
GFSA3,Gafisa S.A.,22.6
GGBR3,Gerdau S.A.,14.32
