Ticker,Preço
SANB3,13.87
SANB4,15.17
SAPR11,36.63
SAPR3,7.26
SAPR4,7.35
SBFG3,11.47
SBSP3,114.03
SCAR3,16.96
SEER3,9.9
SEQL3,1.08
SHOW3,6.68
SHUL4,5.16
SIMH3,5.34
SLCE3,18.5
SMFT3,23.83
SMTO3,19.04
SNSY3,11.4
SNSY5,4.4
SOJA3,11.39
SOND5,44.0
SOND6,37.85
SRNA3,11.63
STBP3,13.7
SUZB3,51.75
SYNE3,6.09
TAEE11,34.26
TAEE3,11.36
TAEE4,11.4
TASA3,7.51
TASA4,7.0
TCSA3,1.15
TECN3,6.7
TELB3,11.98
TELB4,8.52
TEND3,23.44
TFCO4,14.29
TGMA3,34.4
TIMS3,21.27
TKNO4,82.0
TOTS3,41.73
TPIS3,3.98
TRAD3,7.15
TRIS3,7.71
TTEN3,14.41
TUPY3,18.3
UCAS3,1.45
UGPA3,16.96
UNIP3,53.7
UNIP5,58.0
UNIP6,58.12
USIM3,4.36
USIM5,4.35
VALE3,50.55
VAMO3,4.29
VBBR3,21.53
VITT3,4.4
VIVA3,25.09
VIVR3,0.87
VIVT3,30.45
VLID3,25.57
VSTE3,5.85
VTRU3,9.06
VULC3,19.86
VVEO3,1.18
WEGE3,41.6
WEST3,4.25
WHRL3,4.45
WHRL4,4.82
WIZC3,7.85
WLMM4,25.74
YDUQ3,16.26
ZAMP3,3.47
